course_id,department
1,Agricultural and Resource Economics
2,Agricultural and Resource Economics
3,Agricultural and Resource Economics
4,Agricultural and Resource Economics
5,Agricultural and Resource Economics
6,Agricultural and Resource Economics
8,Agricultural and Resource Economics
9,Agricultural and Resource Economics
11,Agricultural and Resource Economics
12,Agricultural and Resource Economics
14,Agricultural and Resource Economics
15,Agricultural and Resource Economics
17,Agricultural and Resource Economics
20,Agricultural and Resource Economics
22,Agricultural and Resource Economics
26,Environmental Economics and Policy
28,Environmental Economics and Policy
29,Environmental Economics and Policy
30,Environmental Economics and Policy
31,Environmental Economics and Policy
32,Environmental Economics and Policy
33,Environmental Economics and Policy
34,Environmental Economics and Policy
35,Environmental Economics and Policy
36,Environmental Economics and Policy
37,Environmental Economics and Policy
38,Environmental Economics and Policy
39,Environmental Economics and Policy
40,Environmental Economics and Policy
41,Environmental Economics and Policy
42,Environmental Economics and Policy
43,Environmental Economics and Policy
44,Environmental Economics and Policy
45,Environmental Economics and Policy
46,Environmental Economics and Policy
47,Environmental Economics and Policy
48,Environmental Economics and Policy
55,Aerospace Studies
56,Aerospace Studies
57,Aerospace Studies
58,Aerospace Studies
59,Aerospace Studies
60,Aerospace Studies
61,Aerospace Studies
62,African American Studies
63,African American Studies
64,African American Studies
65,African American Studies
66,African American Studies
67,African American Studies
82,African American Studies
83,African American Studies
101,African American Studies
102,African American Studies
103,African American Studies
114,African American Studies
116,African American Studies
117,African American Studies
118,African American Studies
119,African American Studies
120,African American Studies
121,African American Studies
122,African American Studies
123,African American Studies
124,African American Studies
125,African American Studies
126,African American Studies
127,African American Studies
128,African American Studies
129,African American Studies
130,African American Studies
131,African American Studies
132,African American Studies
133,African American Studies
134,African American Studies
135,African American Studies
136,African American Studies
137,African American Studies
138,African American Studies
139,African American Studies
141,African American Studies
142,African American Studies
146,African American Studies
147,African American Studies
149,African American Studies
150,African American Studies
151,African American Studies
152,African American Studies
153,African American Studies
154,African American Studies
155,African American Studies
156,African American Studies
157,African American Studies
158,African American Studies
161,African American Studies
162,African American Studies
164,African American Studies
165,African American Studies
166,African American Studies
167,African American Studies
168,African American Studies
175,African American Studies
178,African American Studies
179,African American Studies
180,African American Studies
181,African American Studies
183,Ancient History and Mediterranean Archaeology
185,American Studies
186,American Studies
187,American Studies
188,American Studies
192,American Studies
193,American Studies
194,American Studies
195,American Studies
196,American Studies
197,American Studies
198,American Studies
199,American Studies
200,American Studies
201,American Studies
202,American Studies
203,American Studies
204,American Studies
205,American Studies
206,American Studies
207,American Studies
208,American Studies
210,American Studies
211,American Studies
212,American Studies
213,American Studies
215,Anthropology
216,Anthropology
217,Anthropology
218,Anthropology
219,Anthropology
220,Anthropology
221,Anthropology
222,Anthropology
223,Anthropology
224,Anthropology
226,Anthropology
228,Anthropology
229,Anthropology
230,Anthropology
231,Anthropology
232,Anthropology
233,Anthropology
234,Anthropology
235,Anthropology
237,Anthropology
238,Anthropology
239,Anthropology
241,Anthropology
242,Anthropology
243,Anthropology
244,Anthropology
246,Anthropology
247,Anthropology
248,Anthropology
250,Anthropology
251,Anthropology
252,Anthropology
254,Anthropology
257,Anthropology
258,Anthropology
259,Anthropology
260,Anthropology
261,Anthropology
263,Anthropology
264,Anthropology
265,Anthropology
266,Anthropology
267,Anthropology
269,Anthropology
270,Anthropology
271,Anthropology
272,Anthropology
273,Anthropology
275,Anthropology
276,Anthropology
277,Anthropology
278,Anthropology
279,Anthropology
280,Anthropology
281,Anthropology
282,Anthropology
283,Anthropology
284,Anthropology
285,Anthropology
286,Anthropology
287,Anthropology
288,Anthropology
289,Anthropology
290,Anthropology
291,Anthropology
292,Anthropology
293,Anthropology
294,Anthropology
295,Anthropology
296,Anthropology
297,Anthropology
298,Anthropology
299,Anthropology
301,Anthropology
302,Anthropology
303,Anthropology
304,Anthropology
305,Anthropology
306,Anthropology
307,Anthropology
308,Anthropology
309,Anthropology
310,Anthropology
311,Anthropology
312,Anthropology
313,Anthropology
314,Anthropology
315,Anthropology
318,Anthropology
320,Anthropology
322,Anthropology
323,Anthropology
325,Anthropology
327,Anthropology
328,Anthropology
332,Anthropology
333,Anthropology
334,Anthropology
337,Anthropology
340,Anthropology
346,Anthropology
347,Anthropology
351,Architecture
352,Architecture
353,Architecture
354,Architecture
355,Architecture
356,Architecture
357,Architecture
358,Architecture
359,Architecture
360,Architecture
361,Architecture
363,Architecture
364,Architecture
365,Architecture
366,Architecture
368,Architecture
370,Architecture
371,Architecture
375,Architecture
376,Architecture
377,Architecture
378,Architecture
379,Architecture
380,Architecture
383,Architecture
385,Architecture
386,Architecture
387,Architecture
388,Architecture
392,Architecture
393,Architecture
396,Architecture
397,Architecture
398,Architecture
399,Architecture
400,Architecture
403,Architecture
404,Architecture
405,Architecture
406,Architecture
410,Architecture
411,Architecture
412,Architecture
413,Architecture
414,Architecture
415,Architecture
419,Architecture
424,Architecture
425,Architecture
429,Architecture
430,Architecture
431,Architecture
432,Architecture
433,Architecture
434,Architecture
435,Architecture
437,Architecture
440,Architecture
441,Architecture
443,Architecture
444,Architecture
445,Architecture
447,Architecture
449,Architecture
452,Architecture
454,Architecture
455,Architecture
456,Architecture
457,Architecture
460,Visual Studies
461,Visual Studies
462,Visual Studies
465,Visual Studies
467,Visual Studies
469,Visual Studies
470,Visual Studies
472,Practice of Art
473,Practice of Art
474,Practice of Art
475,Practice of Art
476,Practice of Art
477,Practice of Art
478,Practice of Art
479,Practice of Art
480,Practice of Art
482,Practice of Art
483,Practice of Art
484,Practice of Art
485,Practice of Art
486,Practice of Art
487,Practice of Art
488,Practice of Art
489,Practice of Art
490,Practice of Art
491,Practice of Art
492,Practice of Art
493,Practice of Art
494,Practice of Art
495,Practice of Art
496,Practice of Art
497,Practice of Art
499,Practice of Art
500,Practice of Art
501,Practice of Art
502,Practice of Art
504,Practice of Art
505,Practice of Art
506,Practice of Art
508,Practice of Art
511,Practice of Art
514,Practice of Art
515,Practice of Art
517,Practice of Art
522,Asian American Studies
523,Asian American Studies
524,Asian American Studies
525,Asian American Studies
526,Asian American Studies
527,Asian American Studies
528,Asian American Studies
529,Asian American Studies
531,Asian American Studies
532,Asian American Studies
533,Asian American Studies
534,Asian American Studies
535,Asian American Studies
536,Asian American Studies
537,Asian American Studies
538,Asian American Studies
539,Asian American Studies
540,Asian American Studies
541,Asian American Studies
